Div,Date,HomeTeam,FTHG
E0,31/12/2016,Leicester,1
E0,31/12/2016,Liverpool,1
E0,31/12/2016,Man United,2
E0,31/12/2016,Southampton,1
E0,31/12/2016,Swansea,0
E0,01/01/2017,Arsenal,2
E0,01/01/2017,Watford,1
E0,02/01/2017,Everton,3
E0,02/01/2017,Man City,2
E0,02/01/2017,Middlesbrough,0
E0,02/01/2017,Sunderland,2
E0,02/01/2017,West Brom,3
E0,02/01/2017,West Ham,0
E0,03/01/2017,Bournemouth,3
E0,03/01/2017,Crystal Palace,1
E0,03/01/2017,Stoke,2
E0,04/01/2017,Tottenham,2
E0,14/01/2017,Burnley,1
E0,14/01/2017,Hull,3
E0,14/01/2017,Leicester,0
E0,14/01/2017,Sunderland,1
E0,14/01/2017,Swansea,0
E0,14/01/2017,Tottenham,4
E0,14/01/2017,Watford,0
E0,14/01/2017,West Ham,3
E0,15/01/2017,Everton,4
E0,15/01/2017,Man United,1
E0,21/01/2017,Bournemouth,2
E0,21/01/2017,Crystal Palace,0
E0,21/01/2017,Liverpool,2
E0,21/01/2017,Man City,2
E0,21/01/2017,Middlesbrough,1
E0,21/01/2017,Stoke,1
E0,21/01/2017,West Brom,2
E0,22/01/2017,Arsenal,2
E0,22/01/2017,Chelsea,2
E0,22/01/2017,Southampton,3
E0,31/01/2017,Arsenal,1
E0,31/01/2017,Bournemouth,0
E0,31/01/2017,Burnley,1
E0,31/01/2017,Liverpool,1
E0,31/01/2017,Middlesbrough,1
E0,31/01/2017,Sunderland,0
E0,31/01/2017,Swansea,2
E0,01/02/2017,Man United,0
E0,01/02/2017,Stoke,1
E0,01/02/2017,West Ham,0
E0,04/02/2017,Chelsea,3
E0,04/02/2017,Crystal Palace,0
E0,04/02/2017,Everton,6
E0,04/02/2017,Hull,2
E0,04/02/2017,Southampton,1
E0,04/02/2017,Tottenham,1
E0,04/02/2017,Watford,2
E0,04/02/2017,West Brom,1
E0,05/02/2017,Leicester,0
E0,05/02/2017,Man City,2
E0,11/02/2017,Arsenal,2
E0,11/02/2017,Liverpool,2
E0,11/02/2017,Man United,2
E0,11/02/2017,Middlesbrough,0
E0,11/02/2017,Stoke,1
E0,11/02/2017,Sunderland,0
E0,11/02/2017,West Ham,2
E0,12/02/2017,Burnley,1
E0,12/02/2017,Swansea,2
E0,13/02/2017,Bournemouth,0
E0,25/02/2017,Chelsea,3
E0,25/02/2017,Crystal Palace,1
E0,25/02/2017,Everton,2
E0,25/02/2017,Hull,1
E0,25/02/2017,Watford,1
E0,25/02/2017,West Brom,2
E0,26/02/2017,Tottenham,4
E0,27/02/2017,Leicester,3
E0,04/03/2017,Leicester,3
E0,04/03/2017,Liverpool,3
E0,04/03/2017,Man United,1
E0,04/03/2017,Stoke,2
E0,04/03/2017,Swansea,3
E0,04/03/2017,Watford,3
E0,04/03/2017,West Brom,0
E0,05/03/2017,Sunderland,0
E0,05/03/2017,Tottenham,3
E0,06/03/2017,West Ham,1
E0,08/03/2017,Man City,0
E0,11/03/2017,Bournemouth,3
E0,11/03/2017,Everton,3
E0,11/03/2017,Hull,2
E0,12/03/2017,Liverpool,2
E0,18/03/2017,Bournemouth,2
E0,18/03/2017,Crystal Palace,1
E0,18/03/2017,Everton,4
E0,18/03/2017,Stoke,1
E0,18/03/2017,Sunderland,0
E0,18/03/2017,West Brom,3
E0,18/03/2017,West Ham,2
E0,19/03/2017,Man City,1
E0,19/03/2017,Middlesbrough,1
E0,19/03/2017,Tottenham,2
E0,01/04/2017,Burnley,0
E0,01/04/2017,Chelsea,1
E0,01/04/2017,Hull,2
E0,01/04/2017,Leicester,2
E0,01/04/2017,Liverpool,3
E0,01/04/2017,Man United,0
E0,01/04/2017,Southampton,0
E0,01/04/2017,Watford,1
E0,02/04/2017,Arsenal,2
E0,02/04/2017,Swansea,0
E0,04/04/2017,Burnley,1
E0,04/04/2017,Leicester,2
E0,04/04/2017,Man United,1
E0,04/04/2017,Watford,2
E0,05/04/2017,Arsenal,3
E0,05/04/2017,Chelsea,2
E0,05/04/2017,Hull,4
E0,05/04/2017,Liverpool,2
E0,05/04/2017,Southampton,3
E0,05/04/2017,Swansea,1
E0,08/04/2017,Bournemouth,1
E0,08/04/2017,Man City,3
E0,08/04/2017,Middlesbrough,0
E0,08/04/2017,Stoke,1
E0,08/04/2017,Tottenham,4
E0,08/04/2017,West Brom,0
E0,08/04/2017,West Ham,1
E0,09/04/2017,Everton,4
E0,09/04/2017,Sunderland,0
E0,10/04/2017,Crystal Palace,3
E0,15/04/2017,Crystal Palace,2
E0,15/04/2017,Everton,3
E0,15/04/2017,Southampton,0
E0,15/04/2017,Stoke,3
E0,15/04/2017,Sunderland,2
E0,15/04/2017,Tottenham,4
E0,15/04/2017,Watford,1
E0,16/04/2017,Man United,2
E0,16/04/2017,West Brom,0
E0,17/04/2017,Middlesbrough,1
E0,22/04/2017,Bournemouth,4
E0,22/04/2017,Hull,2
E0,22/04/2017,Swansea,2
E0,22/04/2017,West Ham,0
E0,23/04/2017,Burnley,0
E0,23/04/2017,Liverpool,1
E0,25/04/2017,Chelsea,4
E0,26/04/2017,Arsenal,1
E0,26/04/2017,Crystal Palace,0
E0,26/04/2017,Middlesbrough,1
E0,27/04/2017,Man City,0
E0,29/04/2017,Crystal Palace,0
E0,29/04/2017,Southampton,0
E0,29/04/2017,Stoke,0
E0,29/04/2017,Sunderland,0
E0,29/04/2017,West Brom,0
E0,30/04/2017,Everton,0
E0,30/04/2017,Man United,1
E0,30/04/2017,Middlesbrough,2
E0,30/04/2017,Tottenham,2
E0,01/05/2017,Watford,0
E0,05/05/2017,West Ham,1
E0,06/05/2017,Bournemouth,2
E0,06/05/2017,Burnley,2
E0,06/05/2017,Hull,0
E0,06/05/2017,Leicester,3
E0,06/05/2017,Man City,5
E0,06/05/2017,Swansea,1
E0,07/05/2017,Arsenal,2
E0,07/05/2017,Liverpool,0
E0,08/05/2017,Chelsea,3
E0,10/05/2017,Southampton,0
E0,12/05/2017,Everton,1
E0,12/05/2017,West Brom,0
E0,13/05/2017,Bournemouth,2
E0,13/05/2017,Man City,2
E0,13/05/2017,Middlesbrough,1
E0,13/05/2017,Stoke,1
E0,13/05/2017,Sunderland,0
E0,14/05/2017,Crystal Palace,4
E0,14/05/2017,Tottenham,2
E0,14/05/2017,West Ham,0
E0,15/05/2017,Chelsea,4
E0,16/05/2017,Arsenal,2
E0,16/05/2017,Man City,3
E0,17/05/2017,Southampton,0
E0,18/05/2017,Leicester,1
E0,21/05/2017,Arsenal,3
E0,21/05/2017,Burnley,1
E0,21/05/2017,Chelsea,5
E0,21/05/2017,Hull,1
E0,21/05/2017,Leicester,1
E0,21/05/2017,Liverpool,3
E0,21/05/2017,Man United,2
E0,21/05/2017,Southampton,0
E0,21/05/2017,Swansea,2
E0,21/05/2017,Watford,0
E0,11/08/2017,Arsenal,4
E0,12/08/2017,Brighton,0
E0,12/08/2017,Chelsea,2
E0,12/08/2017,Crystal Palace,0
E0,12/08/2017,Everton,1
E0,12/08/2017,Southampton,0
E0,12/08/2017,Watford,3
E0,12/08/2017,West Brom,1
E0,13/08/2017,Man United,4
E0,13/08/2017,Newcastle,0
E0,19/08/2017,Bournemouth,0
E0,19/08/2017,Burnley,0
E0,19/08/2017,Leicester,2
E0,19/08/2017,Liverpool,1
E0,19/08/2017,Southampton,3
E0,19/08/2017,Stoke,1
E0,19/08/2017,Swansea,0
E0,20/08/2017,Huddersfield,1
E0,20/08/2017,Tottenham,1
E0,21/08/2017,Man City,1
E0,26/08/2017,Bournemouth,1
E0,26/08/2017,Crystal Palace,0
E0,26/08/2017,Huddersfield,0
E0,26/08/2017,Man United,2
E0,26/08/2017,Newcastle,3
E0,26/08/2017,Watford,0
